age,j,c,structure,structureEn
94,4,.000085500396,Couple sans enfant,childless couple
94,6,.000011409317,Couple avec enfant,Couple with child
94,8,.000018700199,Autre cas,Other case
94,9,.00040205414,Hors logement ordinaire,Not in ordinary housing
95,1,.0004262531,Personne vivant seule,Living alone
95,2,.000058915553,Famille monoparentale,Single-parent family
95,4,.000054664619,Couple sans enfant,childless couple
95,6,8.0344380e-06,Couple avec enfant,Couple with child
95,8,.000017509667,Autre cas,Other case
95,9,.00035591319,Hors logement ordinaire,Not in ordinary housing
96,1,.00029770841,Personne vivant seule,Living alone
96,2,.000042302694,Famille monoparentale,Single-parent family
96,4,.000039722509,Couple sans enfant,childless couple
96,6,7.8342609e-06,Couple avec enfant,Couple with child
96,8,.000010748027,Autre cas,Other case
96,9,.00029536689,Hors logement ordinaire,Not in ordinary housing
97,1,.00019473879,Personne vivant seule,Living alone
97,2,.000030104253,Famille monoparentale,Single-parent family
97,4,.00002409399,Couple sans enfant,childless couple
97,6,4.0318073e-06,Couple avec enfant,Couple with child
97,8,6.4831065e-06,Autre cas,Other case
97,9,.00021517726,Hors logement ordinaire,Not in ordinary housing
98,1,.00011904073,Personne vivant seule,Living alone
98,2,.000020139034,Famille monoparentale,Single-parent family
98,4,.000014719225,Couple sans enfant,childless couple
98,6,2.7687845e-06,Couple avec enfant,Couple with child
98,8,4.3865907e-06,Autre cas,Other case
98,9,.00014503482,Hors logement ordinaire,Not in ordinary housing
99,1,.000068935668,Personne vivant seule,Living alone
99,2,.000014211038,Famille monoparentale,Single-parent family
99,4,7.9175807e-06,Couple sans enfant,childless couple
99,6,2.2386396e-06,Couple avec enfant,Couple with child
99,8,3.1091299e-06,Autre cas,Other case
99,9,.000098853576,Hors logement ordinaire,Not in ordinary housing
100,1,.000037774582,Personne vivant seule,Living alone
100,2,7.7626728e-06,Famille monoparentale,Single-parent family
100,4,5.2772339e-06,Couple sans enfant,childless couple
100,6,9.6448753e-07,Couple avec enfant,Couple with child
100,8,1.5520834e-06,Autre cas,Other case
100,9,.00005778969,Hors logement ordinaire,Not in ordinary housing
101,1,.000027026705,Personne vivant seule,Living alone
101,2,4.6046644e-06,Famille monoparentale,Single-parent family
101,4,3.9793194e-06,Couple sans enfant,childless couple
101,6,1.0408885e-06,Couple avec enfant,Couple with child
101,8,1.7967772e-06,Autre cas,Other case
101,9,.000044321758,Hors logement ordinaire,Not in ordinary housing
102,1,.000017540498,Personne vivant seule,Living alone
102,2,4.0251898e-06,Famille monoparentale,Single-parent family
102,4,2.4744602e-06,Couple sans enfant,childless couple
102,6,6.7647977e-07,Couple avec enfant,Couple with child
102,8,1.1676721e-06,Autre cas,Other case
102,9,.000033925655,Hors logement ordinaire,Not in ordinary housing
103,1,.000012377263,Personne vivant seule,Living alone
103,2,2.8796260e-06,Famille monoparentale,Single-parent family
103,4,2.3418111e-06,Couple sans enfant,childless couple
103,6,5.8849827e-07,Couple avec enfant,Couple with child
103,8,1.3690519e-06,Autre cas,Other case
103,9,.000026130649,Hors logement ordinaire,Not in ordinary housing
104,1,7.1902668e-06,Personne vivant seule,Living alone
104,2,2.5346185e-06,Famille monoparentale,Single-parent family
104,4,1.6009620e-06,Couple sans enfant,childless couple
104,6,3.1161986e-07,Couple avec enfant,Couple with child
104,8,7.2024488e-07,Autre cas,Other case
104,9,.000017273696,Hors logement ordinaire,Not in ordinary housing
105,1,4.2596566e-06,Personne vivant seule,Living alone
105,2,1.4117643e-06,Famille monoparentale,Single-parent family
105,4,5.8759593e-07,Couple sans enfant,childless couple
105,6,7.1437945e-08,Couple avec enfant,Couple with child
105,8,7.3453248e-07,Autre cas,Other case
105,9,.000010172614,Hors logement ordinaire,Not in ordinary housing
106,1,2.9734729e-06,Personne vivant seule,Living alone
106,2,3.3432960e-07,Famille monoparentale,Single-parent family
106,4,5.0397591e-07,Couple sans enfant,childless couple
106,6,5.7751940e-08,Couple avec enfant,Couple with child
106,8,7.5197839e-08,Autre cas,Other case
106,9,5.9260410e-06,Hors logement ordinaire,Not in ordinary housing
107,1,1.4209384e-06,Personne vivant seule,Living alone
107,2,2.7853281e-07,Famille monoparentale,Single-parent family
107,4,6.2369088e-07,Couple sans enfant,childless couple
107,6,2.8650376e-07,Couple avec enfant,Couple with child
107,8,1.7069910e-07,Autre cas,Other case
107,9,3.0709293e-06,Hors logement ordinaire,Not in ordinary housing
108,1,9.6854819e-07,Personne vivant seule,Living alone
108,2,5.1736112e-08,Famille monoparentale,Single-parent family
108,4,5.2036906e-08,Couple sans enfant,childless couple
108,6,1.8273074e-07,Couple avec enfant,Couple with child
108,8,2.2078086e-07,Autre cas,Other case
108,9,1.3158118e-06,Hors logement ordinaire,Not in ordinary housing
109,1,5.4247721e-07,Personne vivant seule,Living alone
109,2,8.1965645e-08,Famille monoparentale,Single-parent family
109,4,1.7475978e-07,Couple sans enfant,childless couple
109,6,0,Couple avec enfant,Couple with child
109,8,8.7981469e-08,Autre cas,Other case
109,9,8.4913398e-07,Hors logement ordinaire,Not in ordinary housing
110,1,3.6501032e-07,Personne vivant seule,Living alone
110,2,1.4648539e-07,Famille monoparentale,Single-parent family
110,4,5.5195216e-08,Couple sans enfant,childless couple
110,6,3.0124255e-07,Couple avec enfant,Couple with child
110,8,8.9936620e-08,Autre cas,Other case
110,9,3.5463302e-07,Hors logement ordinaire,Not in ordinary housing
111,1,2.6409481e-07,Personne vivant seule,Living alone
111,2,0,Famille monoparentale,Single-parent family
111,4,1.4573341e-07,Couple sans enfant,childless couple
111,6,1.6528485e-07,Couple avec enfant,Couple with child
111,8,7.5799420e-08,Autre cas,Other case
111,9,7.4746652e-08,Hors logement ordinaire,Not in ordinary housing
112,1,2.2078086e-07,Personne vivant seule,Living alone
112,2,1.2949069e-07,Famille monoparentale,Single-parent family
112,4,1.0873607e-07,Couple sans enfant,childless couple
112,6,3.6997339e-08,Couple avec enfant,Couple with child
112,8,0,Autre cas,Other case
112,9,9.0237407e-08,Hors logement ordinaire,Not in ordinary housing
113,1,3.1974122e-07,Personne vivant seule,Living alone
113,2,8.9335032e-08,Famille monoparentale,Single-parent family
113,4,1.7175186e-07,Couple sans enfant,childless couple
113,6,0,Couple avec enfant,Couple with child
113,8,0,Autre cas,Other case
113,9,3.7298128e-07,Hors logement ordinaire,Not in ordinary housing
114,1,2.7883360e-07,Personne vivant seule,Living alone
114,2,8.6026326e-08,Famille monoparentale,Single-parent family
114,4,2.6349323e-07,Couple sans enfant,childless couple
114,6,0,Couple avec enfant,Couple with child
114,8,4.0456438e-08,Autre cas,Other case
114,9,7.4596258e-08,Hors logement ordinaire,Not in ordinary housing
115,1,3.5177550e-07,Personne vivant seule,Living alone
115,2,6.3767772e-08,Famille monoparentale,Single-parent family
115,4,5.8985188e-07,Couple sans enfant,childless couple
115,6,2.5266473e-07,Couple avec enfant,Couple with child
115,8,4.3163560e-08,Autre cas,Other case
115,9,0,Hors logement ordinaire,Not in ordinary housing
116,1,7.8987813e-07,Personne vivant seule,Living alone
116,2,1.4889173e-07,Famille monoparentale,Single-parent family
116,4,7.7273302e-07,Couple sans enfant,childless couple
116,6,5.7601547e-08,Couple avec enfant,Couple with child
116,8,4.0291002e-07,Autre cas,Other case
116,9,6.8881221e-08,Hors logement ordinaire,Not in ordinary housing
117,1,4.5449573e-07,Personne vivant seule,Living alone
117,2,0,Famille monoparentale,Single-parent family
117,4,8.6552711e-07,Couple sans enfant,childless couple
117,6,1.8167798e-07,Couple avec enfant,Couple with child
117,8,1.0043424e-06,Autre cas,Other case
117,9,1.5039568e-08,Hors logement ordinaire,Not in ordinary housing
118,1,1.5189963e-08,Personne vivant seule,Living alone
118,2,0,Famille monoparentale,Single-parent family
118,4,6.4820540e-08,Couple sans enfant,childless couple
118,6,7.0084390e-08,Couple avec enfant,Couple with child
118,8,0,Autre cas,Other case
118,9,0,Hors logement ordinaire,Not in ordinary housing
119,1,1.3670967e-07,Personne vivant seule,Living alone
119,2,0,Famille monoparentale,Single-parent family
119,4,6.4820540e-08,Couple sans enfant,childless couple
119,6,0,Couple avec enfant,Couple with child
119,8,4.3915538e-08,Autre cas,Other case
119,9,0,Hors logement ordinaire,Not in ordinary housing
120,1,3.2395229e-07,Personne vivant seule,Living alone
120,2,1.0723212e-07,Famille monoparentale,Single-parent family
120,4,1.7115029e-07,Couple sans enfant,childless couple
120,6,1.8543787e-07,Couple avec enfant,Couple with child
120,8,3.3658554e-07,Autre cas,Other case
120,9,0,Hors logement ordinaire,Not in ordinary housing
