age,j,c,structure,structureEn
90,9,-.00011901969,Hors logement ordinaire,Not in ordinary housing
91,1,-.0002383946,Personne vivant seule,Living alone
91,2,-.000022907518,Famille monoparentale,Single-parent family
91,4,-.00036491046,Couple sans enfant,childless couple
91,6,-.000025324527,Couple avec enfant,Couple with child
91,8,-.00001796341,Autre cas,Other case
91,9,-.00011926828,Hors logement ordinaire,Not in ordinary housing
92,1,-.00019642609,Personne vivant seule,Living alone
92,2,-.000019950137,Famille monoparentale,Single-parent family
92,4,-.00027384737,Couple sans enfant,childless couple
92,6,-.000019008359,Couple avec enfant,Couple with child
92,8,-.00001380858,Autre cas,Other case
92,9,-.00011161646,Hors logement ordinaire,Not in ordinary housing
93,1,-.00015899019,Personne vivant seule,Living alone
93,2,-.000014908122,Famille monoparentale,Single-parent family
93,4,-.00020324277,Couple sans enfant,childless couple
93,6,-.000016492089,Couple avec enfant,Couple with child
93,8,-.000012142044,Autre cas,Other case
93,9,-.00010261016,Hors logement ordinaire,Not in ordinary housing
94,1,-.00012552444,Personne vivant seule,Living alone
94,2,-.00001364179,Famille monoparentale,Single-parent family
94,4,-.00014106753,Couple sans enfant,childless couple
94,6,-.000011082357,Couple avec enfant,Couple with child
94,8,-8.2356673e-06,Autre cas,Other case
94,9,-.00008756548,Hors logement ordinaire,Not in ordinary housing
95,1,-.00010159183,Personne vivant seule,Living alone
95,2,-9.5889282e-06,Famille monoparentale,Single-parent family
95,4,-.000096345575,Couple sans enfant,childless couple
95,6,-8.6503087e-06,Couple avec enfant,Couple with child
95,8,-7.1690611e-06,Autre cas,Other case
95,9,-.000073813149,Hors logement ordinaire,Not in ordinary housing
96,1,-.000068989357,Personne vivant seule,Living alone
96,2,-7.6199476e-06,Famille monoparentale,Single-parent family
96,4,-.000058200723,Couple sans enfant,childless couple
96,6,-4.5533798e-06,Couple avec enfant,Couple with child
96,8,-3.4184939e-06,Autre cas,Other case
96,9,-.000052731732,Hors logement ordinaire,Not in ordinary housing
97,1,-.000041269777,Personne vivant seule,Living alone
97,2,-5.1612788e-06,Famille monoparentale,Single-parent family
97,4,-.000032973501,Couple sans enfant,childless couple
97,6,-3.5251244e-06,Couple avec enfant,Couple with child
97,8,-2.4986739e-06,Autre cas,Other case
97,9,-.000038992184,Hors logement ordinaire,Not in ordinary housing
98,1,-.000026773439,Personne vivant seule,Living alone
98,2,-3.5897945e-06,Famille monoparentale,Single-parent family
98,4,-.00001893662,Couple sans enfant,childless couple
98,6,-2.1175711e-06,Couple avec enfant,Couple with child
98,8,-1.6690913e-06,Autre cas,Other case
98,9,-.00002700971,Hors logement ordinaire,Not in ordinary housing
99,1,-.000014839842,Personne vivant seule,Living alone
99,2,-2.2240513e-06,Famille monoparentale,Single-parent family
99,4,-9.2989649e-06,Couple sans enfant,childless couple
99,6,-1.5596032e-06,Couple avec enfant,Couple with child
99,8,-1.1049571e-06,Autre cas,Other case
99,9,-.000013973112,Hors logement ordinaire,Not in ordinary housing
100,1,-7.8658441e-06,Personne vivant seule,Living alone
100,2,-1.0175771e-06,Famille monoparentale,Single-parent family
100,4,-5.6557801e-06,Couple sans enfant,childless couple
100,6,-1.2144451e-06,Couple avec enfant,Couple with child
100,8,-6.7226870e-07,Autre cas,Other case
100,9,-9.0126114e-06,Hors logement ordinaire,Not in ordinary housing
101,1,-5.0799149e-06,Personne vivant seule,Living alone
101,2,-1.5126798e-06,Famille monoparentale,Single-parent family
101,4,-3.0831113e-06,Couple sans enfant,childless couple
101,6,-5.9150619e-07,Couple avec enfant,Couple with child
101,8,-4.9811047e-07,Autre cas,Other case
101,9,-5.2331679e-06,Hors logement ordinaire,Not in ordinary housing
102,1,-4.1853614e-06,Personne vivant seule,Living alone
102,2,-5.8052734e-07,Famille monoparentale,Single-parent family
102,4,-2.4747610e-06,Couple sans enfant,childless couple
102,6,-5.2728723e-07,Couple avec enfant,Couple with child
102,8,-3.2545626e-07,Autre cas,Other case
102,9,-4.4097519e-06,Hors logement ordinaire,Not in ordinary housing
103,1,-1.6448776e-06,Personne vivant seule,Living alone
103,2,-5.0202078e-07,Famille monoparentale,Single-parent family
103,4,-1.7409803e-06,Couple sans enfant,childless couple
103,6,-2.7507369e-07,Couple avec enfant,Couple with child
103,8,-2.8515021e-07,Autre cas,Other case
103,9,-2.6137266e-06,Hors logement ordinaire,Not in ordinary housing
104,1,-1.9940962e-06,Personne vivant seule,Living alone
104,2,-1.7776769e-07,Famille monoparentale,Single-parent family
104,4,-8.3138730e-07,Couple sans enfant,childless couple
104,6,-4.5870681e-08,Couple avec enfant,Couple with child
104,8,-2.5296552e-07,Autre cas,Other case
104,9,-1.9969539e-06,Hors logement ordinaire,Not in ordinary housing
105,1,-8.3304167e-07,Personne vivant seule,Living alone
105,2,-2.2048006e-07,Famille monoparentale,Single-parent family
105,4,-9.2388063e-07,Couple sans enfant,childless couple
105,6,-9.1891764e-08,Couple avec enfant,Couple with child
105,8,-3.3056969e-07,Autre cas,Other case
105,9,-9.2794136e-07,Hors logement ordinaire,Not in ordinary housing
106,1,-8.0236094e-07,Personne vivant seule,Living alone
106,2,-2.9988900e-07,Famille monoparentale,Single-parent family
106,4,-3.9102878e-07,Couple sans enfant,childless couple
106,6,0,Couple avec enfant,Couple with child
106,8,-7.6100214e-08,Autre cas,Other case
106,9,-5.2021863e-07,Hors logement ordinaire,Not in ordinary housing
107,1,-4.7419758e-07,Personne vivant seule,Living alone
107,2,-3.8651688e-08,Famille monoparentale,Single-parent family
107,4,-4.3659867e-07,Couple sans enfant,childless couple
107,6,-6.2564602e-08,Couple avec enfant,Couple with child
107,8,-1.2167010e-07,Autre cas,Other case
107,9,-1.5400518e-07,Hors logement ordinaire,Not in ordinary housing
108,1,-2.5537187e-07,Personne vivant seule,Living alone
108,2,-1.2873871e-07,Famille monoparentale,Single-parent family
108,4,-1.3189701e-07,Couple sans enfant,childless couple
108,6,-1.5189963e-08,Couple avec enfant,Couple with child
108,8,0,Autre cas,Other case
108,9,-3.7598920e-08,Hors logement ordinaire,Not in ordinary housing
109,1,-2.5085998e-07,Personne vivant seule,Living alone
109,2,0,Famille monoparentale,Single-parent family
109,4,-4.2561979e-08,Couple sans enfant,childless couple
109,6,-4.4366725e-08,Couple avec enfant,Couple with child
109,8,0,Autre cas,Other case
109,9,-2.2198402e-07,Hors logement ordinaire,Not in ordinary housing
110,1,-2.7717923e-07,Personne vivant seule,Living alone
110,2,-7.4445865e-08,Famille monoparentale,Single-parent family
110,4,-2.1506581e-08,Couple sans enfant,childless couple
110,6,-2.8830851e-07,Couple avec enfant,Couple with child
110,8,-8.7079101e-08,Autre cas,Other case
110,9,-7.5197839e-08,Hors logement ordinaire,Not in ordinary housing
111,1,-1.7686531e-07,Personne vivant seule,Living alone
111,2,0,Famille monoparentale,Single-parent family
111,4,-1.8483630e-07,Couple sans enfant,childless couple
111,6,-2.7642727e-07,Couple avec enfant,Couple with child
111,8,-1.4227432e-07,Autre cas,Other case
111,9,0,Hors logement ordinaire,Not in ordinary housing
112,1,-3.5358025e-07,Personne vivant seule,Living alone
112,2,0,Famille monoparentale,Single-parent family
112,4,-4.5720288e-08,Couple sans enfant,childless couple
112,6,-1.9100252e-08,Couple avec enfant,Couple with child
112,8,0,Autre cas,Other case
112,9,0,Hors logement ordinaire,Not in ordinary housing
113,1,-6.1963021e-08,Personne vivant seule,Living alone
113,2,-4.1058019e-08,Famille monoparentale,Single-parent family
113,4,-3.9508944e-07,Couple sans enfant,childless couple
113,6,-5.0232156e-08,Couple avec enfant,Couple with child
113,8,0,Autre cas,Other case
113,9,0,Hors logement ordinaire,Not in ordinary housing
114,1,-9.2794131e-08,Personne vivant seule,Living alone
114,2,-1.1580467e-07,Famille monoparentale,Single-parent family
114,4,-1.3415294e-07,Couple sans enfant,childless couple
114,6,-6.3015790e-08,Couple avec enfant,Couple with child
114,8,-4.6472266e-08,Autre cas,Other case
114,9,0,Hors logement ordinaire,Not in ordinary housing
115,1,-6.1677270e-07,Personne vivant seule,Living alone
115,2,-1.4738776e-08,Famille monoparentale,Single-parent family
115,4,-4.3283876e-07,Couple sans enfant,childless couple
115,6,-1.9220568e-07,Couple avec enfant,Couple with child
115,8,-2.2799985e-07,Autre cas,Other case
115,9,-3.7598920e-08,Hors logement ordinaire,Not in ordinary housing
116,1,-7.1137158e-08,Personne vivant seule,Living alone
116,2,-5.3089675e-08,Famille monoparentale,Single-parent family
116,4,-7.6641641e-07,Couple sans enfant,childless couple
116,6,-3.2711060e-07,Couple avec enfant,Couple with child
116,8,-6.8249557e-07,Autre cas,Other case
116,9,0,Hors logement ordinaire,Not in ordinary housing
117,1,-5.3255110e-07,Personne vivant seule,Living alone
117,2,0,Famille monoparentale,Single-parent family
117,4,-9.1696245e-07,Couple sans enfant,childless couple
117,6,-1.8588906e-07,Couple avec enfant,Couple with child
117,8,-1.1314266e-06,Autre cas,Other case
117,9,-7.5197839e-08,Hors logement ordinaire,Not in ordinary housing
118,1,-3.7749317e-08,Personne vivant seule,Living alone
118,2,0,Famille monoparentale,Single-parent family
118,4,0,Couple sans enfant,childless couple
118,6,0,Couple avec enfant,Couple with child
118,8,0,Autre cas,Other case
118,9,0,Hors logement ordinaire,Not in ordinary housing
119,1,0,Personne vivant seule,Living alone
119,2,0,Famille monoparentale,Single-parent family
119,4,0,Couple sans enfant,childless couple
119,6,0,Couple avec enfant,Couple with child
119,8,0,Autre cas,Other case
119,9,0,Hors logement ordinaire,Not in ordinary housing
120,1,-3.5553538e-07,Personne vivant seule,Living alone
120,2,-5.3540862e-08,Famille monoparentale,Single-parent family
120,4,-2.0122943e-07,Couple sans enfant,childless couple
120,6,-7.5197839e-08,Couple avec enfant,Couple with child
120,8,-3.3974385e-07,Autre cas,Other case
120,9,0,Hors logement ordinaire,Not in ordinary housing
